,name,trainer,course,start_date,score,trait,week
150,Haskell Mcdonnell,Edward Reinhart,Data,2019-04-08,5.0,Analytic,1
151,Jeffy Dudding,Edward Reinhart,Data,2019-04-08,2.0,Analytic,1
152,Damaris Vallance,Edward Reinhart,Data,2019-04-08,4.0,Analytic,1
153,Stacee Kidson,Edward Reinhart,Data,2019-04-08,2.0,Analytic,1
154,Anica Vallis,Edward Reinhart,Data,2019-04-08,1.0,Analytic,1
155,Emmey Wadforth,Lucy Foster,Data,2019-05-20,4.0,Analytic,1
156,Sayer Weedon,Lucy Foster,Data,2019-05-20,1.0,Analytic,1
157,Norbie Iacobucci,Lucy Foster,Data,2019-05-20,2.0,Analytic,1
158,Lynnell Samber,Lucy Foster,Data,2019-05-20,4.0,Analytic,1
159,Hogan Bushnell,Lucy Foster,Data,2019-05-20,1.0,Analytic,1
160,Scott Duny,Lucy Foster,Data,2019-05-20,1.0,Analytic,1
161,Viv Newby,Lucy Foster,Data,2019-05-20,3.0,Analytic,1
162,Louise Dowse,Lucy Foster,Data,2019-05-20,3.0,Analytic,1
163,Haroun Mccrohon,Lucy Foster,Data,2019-05-20,2.0,Analytic,1
164,Devan Claricoats,Lucy Foster,Data,2019-05-20,3.0,Analytic,1
165,Matthaeus Audas,Lucy Foster,Data,2019-05-20,5.0,Analytic,1
166,Halsey Broader,Lucy Foster,Data,2019-05-20,2.0,Analytic,1
167,Rina Soffe,Lucy Foster,Data,2019-05-20,4.0,Analytic,1
168,Marcy Treat,Gina Cartwright,Data,2019-07-22,6.0,Analytic,1
169,Heindrick Mckiddin,Gina Cartwright,Data,2019-07-22,5.0,Analytic,1
170,Danella Winkett,Gina Cartwright,Data,2019-07-22,6.0,Analytic,1
171,Darrin Perrelle,Gina Cartwright,Data,2019-07-22,3.0,Analytic,1
172,Janelle Forbear,Gina Cartwright,Data,2019-07-22,1.0,Analytic,1
173,Sorcha Argue,Gina Cartwright,Data,2019-07-22,1.0,Analytic,1
174,Toddie Rubanenko,Gina Cartwright,Data,2019-07-22,6.0,Analytic,1
175,Selby Floyd,Gina Cartwright,Data,2019-07-22,4.0,Analytic,1
176,Claudio Handrick,Gina Cartwright,Data,2019-07-22,4.0,Analytic,1
177,Kingston Comsty,Gina Cartwright,Data,2019-07-22,2.0,Analytic,1
178,Benedikt Cohani,Gina Cartwright,Data,2019-07-22,2.0,Analytic,1
179,Morgen Lilywhite,Gina Cartwright,Data,2019-07-22,3.0,Analytic,1
180,Job Restall,Gina Cartwright,Data,2019-07-22,3.0,Analytic,1
181,Wilhelm Jouanet,Gina Cartwright,Data,2019-07-22,1.0,Analytic,1
182,Malvina Whiteford,Lucy Foster,Data,2019-08-05,3.0,Analytic,1
183,Belle Catherall,Lucy Foster,Data,2019-08-05,3.0,Analytic,1
184,Ortensia Winscomb,Lucy Foster,Data,2019-08-05,2.0,Analytic,1
185,Staffard Load,Lucy Foster,Data,2019-08-05,3.0,Analytic,1
186,Bowie Endersby,Lucy Foster,Data,2019-08-05,4.0,Analytic,1
187,Tonye Ambrogio,Lucy Foster,Data,2019-08-05,3.0,Analytic,1
188,Celina Polley,Lucy Foster,Data,2019-08-05,2.0,Analytic,1
189,Muhammad Linn,Lucy Foster,Data,2019-08-05,3.0,Analytic,1
190,Farica Harding,Lucy Foster,Data,2019-08-05,4.0,Analytic,1
191,Marquita Forrington,Lucy Foster,Data,2019-08-05,1.0,Analytic,1
192,Muffin Jandel,Lucy Foster,Data,2019-08-05,5.0,Analytic,1
193,Nadya Pineaux,Lucy Foster,Data,2019-08-05,5.0,Analytic,1
194,Dewitt Milborn,Lucy Foster,Data,2019-08-05,1.0,Analytic,1
195,Levy Standage,Lucy Foster,Data,2019-08-05,1.0,Analytic,1
196,Silvain Kuhwald,Lucy Foster,Data,2019-08-19,4.0,Analytic,1
197,Aguie Morrad,Lucy Foster,Data,2019-08-19,6.0,Analytic,1
198,Bertram Esgate,Lucy Foster,Data,2019-08-19,2.0,Analytic,1
199,Marlon Reside,Lucy Foster,Data,2019-08-19,5.0,Analytic,1
200,Micheal Di Matteo,Lucy Foster,Data,2019-08-19,2.0,Analytic,1
201,Regina Calver,Lucy Foster,Data,2019-08-19,3.0,Analytic,1
202,Jodie Kaygill,Lucy Foster,Data,2019-08-19,3.0,Analytic,1
203,Ingunna Adin,Lucy Foster,Data,2019-08-19,3.0,Analytic,1
204,Carlos Gerckens,Lucy Foster,Data,2019-08-19,1.0,Analytic,1
205,Sherline Cudihy,Lucy Foster,Data,2019-08-19,3.0,Analytic,1
206,Trudie Kiellor,Lucy Foster,Data,2019-08-19,5.0,Analytic,1
207,Edvard Northen,Lucy Foster,Data,2019-09-23,3.0,Analytic,1
208,Alwin Bullman,Lucy Foster,Data,2019-09-23,2.0,Analytic,1
209,Bob Rogerson,Lucy Foster,Data,2019-09-23,2.0,Analytic,1
210,Kerr Coucha,Lucy Foster,Data,2019-09-23,3.0,Analytic,1
211,Nancie Mehaffey,Lucy Foster,Data,2019-09-23,4.0,Analytic,1
212,Violet Luscombe,Lucy Foster,Data,2019-09-23,4.0,Analytic,1
213,Cora Klausewitz,Lucy Foster,Data,2019-09-23,3.0,Analytic,1
214,Scarface Gallihaulk,Lucy Foster,Data,2019-09-23,8.0,Analytic,1
215,Anna Lamperti,Lucy Foster,Data,2019-09-23,5.0,Analytic,1
216,Collin Commins,Lucy Foster,Data,2019-09-23,2.0,Analytic,1
217,Chrissy Bartholin,Lucy Foster,Data,2019-09-23,2.0,Analytic,1
218,Baird Reynoollds,Lucy Foster,Data,2019-09-23,4.0,Analytic,1
219,Vasili Cartledge,Lucy Foster,Data,2019-09-23,3.0,Analytic,1
220,Otes Kemster,Gina Cartwright,Data,2019-10-28,1.0,Analytic,1
221,Kahaleel Tatem,Gina Cartwright,Data,2019-10-28,5.0,Analytic,1
222,Antonetta Rustedge,Gina Cartwright,Data,2019-10-28,3.0,Analytic,1
223,Anestassia Gadman,Gina Cartwright,Data,2019-10-28,7.0,Analytic,1
224,Babara Veazey,Gina Cartwright,Data,2019-10-28,6.0,Analytic,1
225,Candie Senner,Gina Cartwright,Data,2019-10-28,2.0,Analytic,1
226,Sydelle Russo,Gina Cartwright,Data,2019-10-28,1.0,Analytic,1
227,Warner Harse,Gina Cartwright,Data,2019-10-28,3.0,Analytic,1
228,Tabbatha Kullmann,Gina Cartwright,Data,2019-10-28,1.0,Analytic,1
229,Drucie Bianco,Gina Cartwright,Data,2019-10-28,6.0,Analytic,1
230,Malvin Penrith,Gina Cartwright,Data,2019-10-28,1.0,Analytic,1
231,Clay Perillo,Gina Cartwright,Data,2019-10-28,1.0,Analytic,1
232,Sandy Droogan,Edward Reinhart,Data,2019-11-18,3.0,Analytic,1
233,Othilia Hutton,Edward Reinhart,Data,2019-11-18,1.0,Analytic,1
234,Lindon Mee,Edward Reinhart,Data,2019-11-18,1.0,Analytic,1
235,Danella Leisk,Edward Reinhart,Data,2019-11-18,3.0,Analytic,1
236,Waylan Gors,Edward Reinhart,Data,2019-11-18,5.0,Analytic,1
237,Gisela Andrea,Edward Reinhart,Data,2019-11-18,2.0,Analytic,1
238,Augusta Gilfoy,Edward Reinhart,Data,2019-11-18,4.0,Analytic,1
239,Pier Spatig,Edward Reinhart,Data,2019-11-18,1.0,Analytic,1
240,Brenna Mcgroarty,Edward Reinhart,Data,2019-11-18,2.0,Analytic,1
241,Susannah Bengough,John Sandbox,Data,2019-12-16,2.0,Analytic,1
242,Madison Getch,John Sandbox,Data,2019-12-16,4.0,Analytic,1
243,Leicester Banker,John Sandbox,Data,2019-12-16,3.0,Analytic,1
244,Murvyn Aers,John Sandbox,Data,2019-12-16,4.0,Analytic,1
245,Morley Battell,John Sandbox,Data,2019-12-16,5.0,Analytic,1
246,Juliane Jacobssen,John Sandbox,Data,2019-12-16,5.0,Analytic,1
247,Teirtza Docharty,John Sandbox,Data,2019-12-16,3.0,Analytic,1
248,Arny Dobrowolny,John Sandbox,Data,2019-12-16,6.0,Analytic,1
249,Derby Mcglashan,John Sandbox,Data,2019-12-16,5.0,Analytic,1
250,Sharron Starling,John Sandbox,Data,2019-12-16,3.0,Analytic,1
251,Amalea Harrell,John Sandbox,Data,2019-12-16,2.0,Analytic,1
252,Finn Maasze,John Sandbox,Data,2019-12-16,5.0,Analytic,1
253,Gianina Wandless,Trixie Orange,Data,2019-12-30,3.0,Analytic,1
254,Kaitlyn Chagg,Trixie Orange,Data,2019-12-30,1.0,Analytic,1
255,Scotti Bromfield,Trixie Orange,Data,2019-12-30,1.0,Analytic,1
256,Genovera Mattek,Trixie Orange,Data,2019-12-30,3.0,Analytic,1
257,Yorgos O'Rourke,Trixie Orange,Data,2019-12-30,1.0,Analytic,1
258,Sigrid Veitch,Eshal Brandt,Engineering,2019-02-18,4.0,Analytic,1
259,Rodrick Henworth,Eshal Brandt,Engineering,2019-02-18,4.0,Analytic,1
260,Reggie Lawlor,Eshal Brandt,Engineering,2019-02-18,5.0,Analytic,1
261,Thornton Thuillier,Eshal Brandt,Engineering,2019-02-18,3.0,Analytic,1
262,Thomasine Poundford,Eshal Brandt,Engineering,2019-02-18,3.0,Analytic,1
263,Wakefield Jeves,Eshal Brandt,Engineering,2019-02-18,1.0,Analytic,1
264,Ced Danielut,Eshal Brandt,Engineering,2019-02-18,5.0,Analytic,1
265,Austin Brister,Eshal Brandt,Engineering,2019-02-18,2.0,Analytic,1
266,Windham Biagi,Eshal Brandt,Engineering,2019-02-18,6.0,Analytic,1
267,Wendy Ducastel,Eshal Brandt,Engineering,2019-02-18,1.0,Analytic,1
268,Daryle Janoch,Eshal Brandt,Engineering,2019-02-18,6.0,Analytic,1
269,Aluino Sainter,Eshal Brandt,Engineering,2019-02-18,3.0,Analytic,1
270,Magda Mckirton,Eshal Brandt,Engineering,2019-02-18,4.0,Analytic,1
271,Caryn Adriaan,Eshal Brandt,Engineering,2019-02-18,3.0,Analytic,1
272,Redd Jurges,Macey Broughton,Engineering,2019-04-01,1.0,Analytic,1
273,Fabian Exell,Macey Broughton,Engineering,2019-04-01,2.0,Analytic,1
274,Solly Kollas,Macey Broughton,Engineering,2019-04-01,4.0,Analytic,1
275,Barbabas Huygens,Macey Broughton,Engineering,2019-04-01,2.0,Analytic,1
276,Liuka Drissell,Macey Broughton,Engineering,2019-04-01,3.0,Analytic,1
277,Vikki Godsal,Macey Broughton,Engineering,2019-04-01,3.0,Analytic,1
278,Ealasaid Badcock,Macey Broughton,Engineering,2019-04-01,5.0,Analytic,1
279,Gal Wallwood,Macey Broughton,Engineering,2019-04-01,4.0,Analytic,1
280,Lotte Witherop,Macey Broughton,Engineering,2019-04-01,3.0,Analytic,1
281,Bella Tarbox,Macey Broughton,Engineering,2019-04-01,2.0,Analytic,1
282,Gabby Neilson,Macey Broughton,Engineering,2019-04-01,3.0,Analytic,1
283,Zitella Hembery,Macey Broughton,Engineering,2019-04-01,2.0,Analytic,1
284,Danielle Absolom,Igor Coates,Engineering,2019-04-29,3.0,Analytic,1
285,Hughie Yeliashev,Igor Coates,Engineering,2019-04-29,4.0,Analytic,1
286,Sher Biesinger,Igor Coates,Engineering,2019-04-29,3.0,Analytic,1
287,Pepe Bendig,Igor Coates,Engineering,2019-04-29,4.0,Analytic,1
288,Neal Ginglell,Igor Coates,Engineering,2019-04-29,3.0,Analytic,1
289,Rozamond Wilton,Igor Coates,Engineering,2019-04-29,3.0,Analytic,1
290,Glenn Coaker,Igor Coates,Engineering,2019-04-29,6.0,Analytic,1
291,Daisy Brims,Igor Coates,Engineering,2019-04-29,1.0,Analytic,1
292,Lalo Halton,Igor Coates,Engineering,2019-04-29,4.0,Analytic,1
293,Palm Jakovijevic,Igor Coates,Engineering,2019-04-29,2.0,Analytic,1
294,Yelena Kelleway,Igor Coates,Engineering,2019-04-29,3.0,Analytic,1
295,Lay Trosdall,Igor Coates,Engineering,2019-04-29,2.0,Analytic,1
296,Kayle Ferenc,Igor Coates,Engineering,2019-04-29,2.0,Analytic,1
297,Law Massen,Mohammad Velazquez,Engineering,2019-05-27,4.0,Analytic,1
298,Aldridge Du Fray,Mohammad Velazquez,Engineering,2019-05-27,4.0,Analytic,1
299,Horatio Christley,Mohammad Velazquez,Engineering,2019-05-27,3.0,Analytic,1
300,Mellicent Desaur,Mohammad Velazquez,Engineering,2019-05-27,4.0,Analytic,1
301,Ludovico Orridge,Mohammad Velazquez,Engineering,2019-05-27,2.0,Analytic,1
302,Chantal Mailes,Mohammad Velazquez,Engineering,2019-05-27,5.0,Analytic,1
303,Fax Schankelborg,Mohammad Velazquez,Engineering,2019-05-27,7.0,Analytic,1
304,Kellie Tanguy,Mohammad Velazquez,Engineering,2019-05-27,2.0,Analytic,1
305,Yalonda Beacom,Mohammad Velazquez,Engineering,2019-05-27,5.0,Analytic,1
306,Tab Shitliff,Mohammad Velazquez,Engineering,2019-05-27,3.0,Analytic,1
307,Tobie Culcheth,Mohammad Velazquez,Engineering,2019-05-27,1.0,Analytic,1
308,Gerianne Bagge,Macey Broughton,Engineering,2019-07-15,2.0,Analytic,1
309,William Tomlett,Macey Broughton,Engineering,2019-07-15,6.0,Analytic,1
310,Teddie Kemet,Macey Broughton,Engineering,2019-07-15,2.0,Analytic,1
311,Artur Domaschke,Macey Broughton,Engineering,2019-07-15,3.0,Analytic,1
312,Terrie Mackibbon,Macey Broughton,Engineering,2019-07-15,4.0,Analytic,1
313,Ignacius Pleasaunce,Macey Broughton,Engineering,2019-07-15,2.0,Analytic,1
314,Liane Lorente,Macey Broughton,Engineering,2019-07-15,6.0,Analytic,1
315,Sosanna Rawlings,Macey Broughton,Engineering,2019-07-15,1.0,Analytic,1
316,Allistir Langrick,Macey Broughton,Engineering,2019-07-15,6.0,Analytic,1
317,Honor Huntall,Macey Broughton,Engineering,2019-07-15,3.0,Analytic,1
318,Natassia Pawle,Macey Broughton,Engineering,2019-07-15,2.0,Analytic,1
319,Haywood Teager,Macey Broughton,Engineering,2019-07-15,3.0,Analytic,1
320,Marillin Rosendall,Macey Broughton,Engineering,2019-07-15,4.0,Analytic,1
321,Giustina Catford,Martina Meadows,Engineering,2019-07-22,1.0,Analytic,1
322,Kore Amburgy,Martina Meadows,Engineering,2019-07-22,4.0,Analytic,1
323,Constance Fellibrand,Martina Meadows,Engineering,2019-07-22,3.0,Analytic,1
324,Rickard Blakes,Martina Meadows,Engineering,2019-07-22,5.0,Analytic,1
325,Noe Fortnam,Martina Meadows,Engineering,2019-07-22,1.0,Analytic,1
326,Cherrita Mcgilleghole,Martina Meadows,Engineering,2019-07-22,6.0,Analytic,1
327,Charmain Diben,Martina Meadows,Engineering,2019-07-22,1.0,Analytic,1
328,Bunny Barns,Martina Meadows,Engineering,2019-07-22,6.0,Analytic,1
329,Brewer Calderbank,Eshal Brandt,Engineering,2019-08-12,1.0,Analytic,1
330,Fons Ghiotto,Eshal Brandt,Engineering,2019-08-12,3.0,Analytic,1
331,Evin De Roeck,Eshal Brandt,Engineering,2019-08-12,5.0,Analytic,1
332,Maxy Bensen,Eshal Brandt,Engineering,2019-08-12,2.0,Analytic,1
333,Calida Behr,Eshal Brandt,Engineering,2019-08-12,2.0,Analytic,1
334,Dannel Longmaid,Eshal Brandt,Engineering,2019-08-12,2.0,Analytic,1
335,Sarah Magor,Eshal Brandt,Engineering,2019-08-12,2.0,Analytic,1
336,Alistair Scanes,Eshal Brandt,Engineering,2019-08-12,4.0,Analytic,1
337,Homere Stentiford,Eshal Brandt,Engineering,2019-08-12,2.0,Analytic,1
338,Alvie Bleackly,Eshal Brandt,Engineering,2019-08-12,4.0,Analytic,1
